N,h_over_J,ED_energy,VMC_energy,rel_error_pct,acceptance_rate
8,0.5,-7.64059255,-7.618789934,0.2853524233536107,0.0651
8,1.0,-9.83795145,-9.8104028379,0.28002386716393446,0.418
8,1.5,-13.19140495,-13.1968786672,0.041494573328212686,0.635
10,0.5,-9.76550396,-9.7341265129,0.32130904076762634,0.0592
10,1.0,-12.38149,-12.2695768864,0.9038743608402544,0.3965
10,1.5,-16.53525495,-16.5816235511,0.2804226559567069,0.6284
12,0.5,-11.89204487,-11.4878211812,3.3991100203442146,0.0506
12,1.0,-14.92597111,-14.950974808,0.1675180650942518,0.3817
12,1.5,-19.87910704,-19.877213451,0.009525523436195466,0.6271
14,0.5,-14.01899646,-13.7447949321,1.9559283625070603,0.0528
14,1.0,-17.47100405,-17.4287813232,0.24167315558490848,0.3434
14,1.5,-23.22295943,-23.2537109356,0.1324185476562295,0.6183
16,0.5,-16.14605096,-14.9112417028,7.647747800741491,0.1247
16,1.0,-20.0163879,-19.7989506898,1.0862959455337091,0.2796
16,1.5,-26.56681187,-26.3512355457,0.811449734182948,0.6077
